created_at,id,vendor_id,facebook,font_family,instagram,primary_color,secondary_color,store_address,store_description,store_logo_url,store_name,store_phone,store_status,shipping_cost,total_visits,theme_type,layout_config
2026-04-19 19:06:18.940353,c446f843-7a03-42d1-9952-0895c4b27b8c,aef12a16-cfff-46df-8a49-5986221779b4,,Inter,,#800020,#ffffff,الشروق,---,https://pub-e3f67119581e41a09e34c0a920c52720.r2.dev/stores/c446f843-7a03-42d1-9952-0895c4b27b8c/logo.jpeg,knoz_store,01061666561,Inactive,,,MODERN,"{
  ""pages"": {
    ""home"": true,
    ""allProducts"": true
  },
  ""sections"": [
    {
      ""type"": ""BANNER"",
      ""image"": """"
    },
    {
      ""type"": ""FEATURED_PRODUCTS"",
      ""productIds"": []
    }
  ]
}
"
2026-03-26 08:45:00.355292,cbc43ca8-92df-44b3-a25b-f221d0ada9df,700a8f60-de70-4821-a9e1-cea9d5c0e72a,,Inter,,#ffffff,#000000,"الاسماعيليه ",تيشيرتات رياضيه,,Goat,01282837860,Inactive,,5,,
2026-04-30 04:35:02.144961,ced8fd23-20db-47ef-9790-a2fa8f63ff1b,37f0b390-c459-45f8-9c86-2916ef9e443b,,Inter,,#000000,#ff8400,Jordan/Amman,بنلف الأردن لنرسم البسمة على وجهك بأفضل المنتجات وأقل الاسعار. كل قطعه عندنا هي لقطة حقيقية !,,Laqta-Jo,+962787238100,Inactive,,5,CLASSIC,"{
  ""pages"": {
    ""home"": true,
    ""allProducts"": true
  },
  ""sections"": [
    {
      ""type"": ""BANNER"",
      ""image"": """"
    },
    {
      ""type"": ""FEATURED_PRODUCTS"",
      ""productIds"": []
    }
  ]
}
"
2026-03-26 08:23:40.765629,cfc686b0-ce00-4eb0-9c53-415ffa1963a3,0cca0427-989b-46b4-b0f4-f6d3565a9356,,Inter,,#800020,#ffffff,"Cairo ","ساعات وديكورات خشب حفر ليزر ",,modernclick,01112153681,Inactive,,3,,
2026-04-21 14:39:13.171328,dc1d710e-48bf-4b33-bcc3-ebcc25d4aedf,8a474c9d-9081-48fa-95e1-ba418a25e27d,,Inter,,#800020,#ffffff,الاردن,كل ما يلزمكم موجود لدينا,,المدهش,0777536084,Inactive,,3,CLASSIC,"{
  ""pages"": {
    ""home"": true,
    ""allProducts"": true
  },
  ""sections"": [
    {
      ""type"": ""BANNER"",
      ""image"": """"
    },
    {
      ""type"": ""FEATURED_PRODUCTS"",
      ""productIds"": []
    }
  ]
}
"
2026-03-07 02:33:19.130814,e4a2a845-5248-4b6b-97e5-27706dc0aadf,508d37a9-d116-4dea-9509-669e6ac5e271,,Inter,,#ffffff,#ffffff,Duhok,Duhok,,Kurd11,+9647507074364,Inactive,,,,
2026-03-10 14:50:14.080907,e848acb0-d570-4b44-b104-c781697589cf,8c47d504-4830-4f85-8b05-d871e12cc988,,Inter,,#422da5,#ffffff,"Alexandria ","I sell body splashes, perfumes, shoe foam cleaner, stain remover, and wrinkle release.​​​​​​​​​​​​​​​​",,splashin,01033777123,Inactive,,49,,
2026-03-12 14:26:14.606691,f3197afb-3f38-4290-bd7b-a718a93f9a05,affb0b17-df32-4b1c-b120-c11bdc5f4881,,Inter,,#fff2d5,#ffffff,"Online ","Refashion, we design the old classy fashion with a modern touch. ",,Nuta,+201551231430,Inactive,,,,
2026-03-22 12:05:08.250762,f410b754-ea14-45a6-8c46-65f86767c152,4899ae78-db96-4e0b-9b35-27d2b42d4759,,Inter,,#d4f000,#ffffff,AMMAN,PHONE accessories,,NASHMI,962789416654,Inactive,,3,,
2026-04-22 09:03:42.451638,f9cc15ab-17fa-4689-a438-973b16a7c227,10905206-6f8c-465e-ac60-5549ba5c65b4,,Inter,,#4c0080,#af4b4b,online,clothes store,,tiger,01007232070,Inactive,,1,CLASSIC,"{
  ""pages"": {
    ""home"": true,
    ""allProducts"": true
  },
  ""sections"": [
    {
      ""type"": ""BANNER"",
      ""image"": """"
    },
    {
      ""type"": ""FEATURED_PRODUCTS"",
      ""productIds"": []
    }
  ]
}
"
2026-04-16 13:06:47.495357,fb972f74-0b45-417c-ab5e-e1ba39a53955,54ec3ee9-0aca-4d2e-8c0b-5e1f4014284f,https://www.facebook.com/share/1E7BBUbmpV/,Inter,https://www.instagram.com/khadouj1010?igsh=b3V5aXFkZ3R1MWYz,#9f63ff,#ffffff,"Alexandria| Online ","﴿ وَزُرُوعٍ وَمَقَامٍ كَرِيمٍ ﴾

خدوچ للزيوت والتركيبات الطبيعية والطبية.🌿💊
نباتات طبية وعطرية|زهور و زينة| تقاوي|شتلات فاكهة و خضر 🪴🌶️🍇🥭
توصيل لأي مكان داخل اسكندرية 🚛

Where Nature Always Wins🌱🏆",https://pub-e3f67119581e41a09e34c0a920c52720.r2.dev/stores/fb972f74-0b45-417c-ab5e-e1ba39a53955/logo.jpg,خدوچKhadouj,01030936878,Active,,74,MINIMAL,"{
  ""pages"": {
    ""home"": true,
    ""allProducts"": true
  },
  ""sections"": [
    {
      ""type"": ""BANNER"",
      ""image"": """"
    },
    {
      ""type"": ""FEATURED_PRODUCTS"",
      ""productIds"": []
    }
  ]
}
"
